Date,EURO_Rate,Buy,Sell
30/06/2023,152.9815,152.8524,153.1106
29/06/2023,154.0021,153.8694,154.1347
27/06/2023,153.3247,153.1959,153.4535
26/06/2023,153.1559,153.0288,153.2829
23/06/2023,154.1718,154.0359,154.3076
22/06/2023,153.3421,153.2118,153.4724
21/06/2023,153.0609,152.9324,153.1894
20/06/2023,153.0806,152.9535,153.2076
19/06/2023,153.3129,153.1806,153.4453
16/06/2023,151.8932,151.7582,152.0282
15/06/2023,151.21,151.0759,151.3441
14/06/2023,150.7768,150.6471,150.9065
13/06/2023,150.0785,149.9459,150.2112
12/6/2023,150.0509,149.9194,150.1824
9/6/2023,149.6303,149.4994,149.7612
8/6/2023,149.0718,148.9376,149.2059
7/6/2023,148.4432,148.3153,148.5712
6/6/2023,148.5826,148.4541,148.7112
5/6/2023,149.2176,149.09,149.3453
2/6/2023,148.0515,147.9218,148.1812
31/05/2023,148.5426,148.4118,148.6735
30/05/2023,148.3332,148.2035,148.4629
29/05/2023,148.3703,148.2418,148.4988
26/05/2023,148.1297,147.9959,148.2635
25/05/2023,148.9194,148.7865,149.0524
24/05/2023,148.5685,148.4388,148.6982
23/05/2023,149.0062,148.8741,149.1382
22/05/2023,148.6638,148.5324,148.7953
19/05/2023,148.5126,148.3835,148.6418
18/05/2023,148.8106,148.6835,148.9376
17/05/2023,149.3618,149.2265,149.4971
16/05/2023,149.1456,149.0159,149.2753
15/05/2023,149.1862,149.0541,149.3182
12/5/2023,149.3585,149.2247,149.4924
11/5/2023,150.2541,150.1224,150.3859
10/5/2023,149.6965,149.5688,149.8241
9/5/2023,150.7944,150.6724,150.9165
8/5/2023,150.0976,149.9653,150.23
5/5/2023,150.3991,150.2659,150.5324
4/5/2023,150.4556,150.32,150.5912
3/5/2023,149.3424,149.2094,149.4753
2/5/2023,149.6438,149.5112,149.7765
28/04/2023,149.7215,149.5876,149.8553
27/04/2023,150.2941,150.1618,150.4265
26/04/2023,149.1932,149.0624,149.3241
25/04/2023,149.2115,149.0806,149.3424
24/04/2023,148.4768,148.3441,148.6094
20/04/2023,148.1603,148.0265,148.2941
19/04/2023,147.9609,147.8276,148.0941
18/04/2023,147.4159,147.2847,147.5471
17/04/2023,148.4453,148.3165,148.5741
14/04/2023,148.515,148.3829,148.6471
13/04/2023,146.9844,146.8518,147.1171
12/4/2023,145.8944,145.7712,146.0176
11/4/2023,145.6644,145.5306,145.7982
6/4/2023,145.8888,145.7588,146.0188
5/4/2023,145.1991,145.0647,145.3335
4/4/2023,144.3435,144.2171,144.47
3/4/2023,144.2921,144.1665,144.4176
31/03/2023,144.3688,144.2424,144.4953
30/03/2023,143.4218,143.29,143.5535
29/03/2023,142.6806,142.5529,142.8082
28/03/2023,141.7518,141.6229,141.8806
27/03/2023,141.2088,141.0747,141.3429
24/03/2023,142.8894,142.76,143.0188
23/03/2023,141.3288,141.2029,141.4547
22/03/2023,140.7209,140.5876,140.8541
21/03/2023,139.4632,139.3371,139.5894
20/03/2023,138.2485,138.1229,138.3741
17/03/2023,137.7668,137.6429,137.8906
16/03/2023,136.9947,136.8735,137.1159
15/03/2023,138.8626,138.7447,138.9806
14/03/2023,138.5774,138.45,138.7047
13/03/2023,137.1388,137.0135,137.2641
10/3/2023,136.0865,135.95,136.2229
9/3/2023,135.6035,135.4776,135.7294
8/3/2023,136.9376,136.8088,137.0665
7/3/2023,136.4576,136.3329,136.5824
6/3/2023,135.6738,135.5465,135.8012
3/3/2023,135.3856,135.2606,135.5106
2/3/2023,135.8771,135.7518,136.0024
1/3/2023,134.8335,134.7076,134.9594
28/02/2023,133.9324,133.8106,134.0541
27/02/2023,133.89,133.7624,134.0176
24/02/2023,133.9741,133.8476,134.1006
23/02/2023,134.2924,134.1641,134.4206
22/02/2023,134.4568,134.3318,134.5818
21/02/2023,134.5626,134.4388,134.6865
20/02/2023,133.6065,133.4812,133.7318
17/02/2023,134.3482,134.2218,134.4747
16/02/2023,134.4341,134.3076,134.5606
15/02/2023,134.8818,134.7547,135.0088
14/02/2023,133.805,133.6782,133.9318
13/02/2023,133.8853,133.7606,134.01
10/2/2023,134.7318,134.6076,134.8559
9/2/2023,134.1426,134.0176,134.2676
8/2/2023,133.8185,133.6924,133.9447
7/2/2023,134.5638,134.4429,134.6847
6/2/2023,136.2968,136.1665,136.4271
3/2/2023,136.4094,136.28,136.5388
2/2/2023,135.5626,135.4324,135.6929
1/2/2023,134.9229,134.7918,135.0541
31/01/2023,135.3303,135.2018,135.4588
30/01/2023,135.3279,135.1971,135.4588
27/01/2023,135.5991,135.47,135.7282
26/01/2023,135.2191,135.0853,135.3529
25/01/2023,135.1997,135.0659,135.3335
24/01/2023,135.0118,134.8818,135.1418
23/01/2023,134.335,134.2053,134.4647
20/01/2023,134.2068,134.0806,134.3329
19/01/2023,133.8213,133.6912,133.9514
18/01/2023,134.2853,134.1594,134.4112
17/01/2023,134.0512,133.9206,134.1818
16/01/2023,133.9282,133.7959,134.0606
13/01/2023,133.3156,133.1818,133.4494
12/1/2023,132.9318,132.8029,133.0606
11/1/2023,132.7632,132.6347,132.8918
10/1/2023,132.2112,132.08,132.3424
9/1/2023,130.1741,130.0471,130.3012
6/1/2023,131.0882,130.9641,131.2124
5/1/2023,131.0097,130.8853,131.1341
4/1/2023,130.6494,130.5241,130.7747
