Date,POUND_Rate,Buy,Sell
30/06/2023,177.2759,177.1247,177.4271
29/06/2023,179.0353,178.8841,179.1865
27/06/2023,178.6224,178.4724,178.7724
26/06/2023,178.6132,178.4565,178.77
23/06/2023,179.0782,178.9235,179.2329
22/06/2023,178.4082,178.2559,178.5606
21/06/2023,178.7353,178.58,178.8906
20/06/2023,179.4847,179.3318,179.6376
19/06/2023,179.4029,179.2524,179.5535
16/06/2023,177.1768,177.0271,177.3265
15/06/2023,176.9062,176.7547,177.0576
14/06/2023,175.7882,175.6376,175.9388
13/06/2023,174.8209,174.6753,174.9665
12/6/2023,175.1085,174.9612,175.2559
9/6/2023,173.8535,173.7082,173.9988
8/6/2023,173.3303,173.1812,173.4794
7/6/2023,172.425,172.2741,172.5759
6/6/2023,172.1926,172.0459,172.3394
5/6/2023,173.7138,173.5682,173.8594
2/6/2023,171.3659,171.2247,171.5071
31/05/2023,172.1215,171.9794,172.2635
30/05/2023,170.9091,170.7594,171.0588
29/05/2023,170.8341,170.6871,170.9812
26/05/2023,170.5535,170.4088,170.6982
25/05/2023,171.1979,171.0494,171.3465
24/05/2023,170.8621,170.7112,171.0129
23/05/2023,171.5506,171.4053,171.6959
22/05/2023,171.1456,170.9971,171.2941
19/05/2023,170.8612,170.7153,171.0071
18/05/2023,171.3762,171.2288,171.5235
17/05/2023,171.7024,171.5547,171.85
16/05/2023,171.5088,171.3588,171.6588
15/05/2023,171.3779,171.2294,171.5265
12/5/2023,171.5453,171.3988,171.6918
11/5/2023,173.0065,172.8541,173.1588
10/5/2023,172.0926,171.9465,172.2388
9/5/2023,172.8126,172.6618,172.9635
8/5/2023,171.8429,171.6976,171.9882
5/5/2023,171.4321,171.2859,171.5782
4/5/2023,170.5476,170.4006,170.6947
3/5/2023,169.7085,169.5606,169.8565
2/5/2023,170.0465,169.8971,170.1959
28/04/2023,169.3679,169.2212,169.5147
27/04/2023,169.5603,169.4118,169.7088
26/04/2023,168.3371,168.19,168.4841
25/04/2023,168.5847,168.4353,168.7341
24/04/2023,168.4476,168.2965,168.5988
20/04/2023,168.2768,168.1288,168.4247
19/04/2023,167.7656,167.6159,167.9153
18/04/2023,166.9094,166.7606,167.0582
17/04/2023,167.8824,167.7318,168.0329
14/04/2023,168.2315,168.0835,168.3794
13/04/2023,166.9238,166.78,167.0676
12/4/2023,166.2368,166.0953,166.3782
11/4/2023,166.0097,165.8635,166.1559
6/4/2023,166.3065,166.16,166.4529
5/4/2023,166.0409,165.8929,166.1888
4/4/2023,164.3462,164.1982,164.4941
3/4/2023,164.115,163.9653,164.2647
31/03/2023,163.6715,163.5282,163.8147
30/03/2023,162.9185,162.7694,163.0676
29/03/2023,162.2203,162.0724,162.3682
