Date,USD_Rate,Buy,Sell
30/06/2023,140.5235,140.4235,140.6235
29/06/2023,140.45,140.35,140.55
27/06/2023,140.4441,140.3441,140.5441
26/06/2023,140.4412,140.3412,140.5412
23/06/2023,140.4029,140.3029,140.5029
22/06/2023,140.3059,140.2059,140.4059
21/06/2023,140.2,140.1,140.3
20/06/2023,140.1206,140.0206,140.2206
19/06/2023,140.0412,139.9412,140.1412
16/06/2023,139.8706,139.7706,139.9706
15/06/2023,139.7118,139.6118,139.8118
14/06/2023,139.6276,139.5276,139.7276
13/06/2023,139.4776,139.3776,139.5776
12/6/2023,139.35,139.25,139.45
9/6/2023,139.2235,139.1235,139.3235
8/6/2023,139.1124,139.0124,139.2124
7/6/2023,138.9676,138.8676,139.0676
6/6/2023,138.8735,138.7735,138.9735
5/6/2023,138.7559,138.6559,138.8559
2/6/2023,138.6088,138.5088,138.7088
31/05/2023,138.4912,138.3912,138.5912
30/05/2023,138.4176,138.3176,138.5176
29/05/2023,138.3324,138.2324,138.4324
26/05/2023,138.2529,138.1529,138.3529
25/05/2023,138.1324,138.0324,138.2324
24/05/2023,137.9559,137.8559,138.0559
23/05/2023,137.7618,137.6618,137.8618
22/05/2023,137.6265,137.5265,137.7265
19/05/2023,137.4912,137.3912,137.5912
18/05/2023,137.3735,137.2735,137.4735
17/05/2023,137.2382,137.1382,137.3382
16/05/2023,137.1029,137.0029,137.2029
15/05/2023,136.9794,136.8794,137.0794
12/5/2023,136.8765,136.7765,136.9765
11/5/2023,136.7912,136.6912,136.8912
10/5/2023,136.6765,136.5765,136.7765
9/5/2023,136.5853,136.4853,136.6853
8/5/2023,136.4676,136.3676,136.5676
5/5/2023,136.3971,136.2971,136.4971
4/5/2023,136.2618,136.1618,136.3618
3/5/2023,136.1529,136.0529,136.2529
2/5/2023,136.0176,135.9176,136.1176
28/04/2023,135.9118,135.8118,136.0118
27/04/2023,135.8324,135.7324,135.9324
26/04/2023,135.6588,135.5588,135.7588
25/04/2023,135.4824,135.3824,135.5824
24/04/2023,135.3147,135.2147,135.4147
20/04/2023,135.1912,135.0912,135.2912
19/04/2023,134.9735,134.8735,135.0735
18/04/2023,134.7382,134.6382,134.8382
17/04/2023,134.5676,134.4676,134.6676
14/04/2023,134.3529,134.2529,134.4529
13/04/2023,133.9529,133.8529,134.0529
12/4/2023,133.7235,133.6235,133.8235
11/4/2023,133.5882,133.4882,133.6882
6/4/2023,133.3,133.2,133.4
5/4/2023,132.9412,132.8412,133.0412
4/4/2023,132.6735,132.5735,132.7735
3/4/2023,132.5206,132.4206,132.6206
