"Date","Currency","Mean","Buy","Sell"
"30/06/2023","CHINESE YUAN","19.3804","19.3653","19.3955"
"29/06/2023","CHINESE YUAN","19.4899","19.4733","19.5065"
"27/06/2023","CHINESE YUAN","19.4711","19.4563","19.4859"
"26/06/2023","CHINESE YUAN","19.4568","19.4424","19.4712"
"23/06/2023","CHINESE YUAN","19.5562","19.5381","19.5744"
"22/06/2023","CHINESE YUAN","19.5427","19.5246","19.5609"
"21/06/2023","CHINESE YUAN","19.4917","19.4773","19.5062"
"20/06/2023","CHINESE YUAN","19.5259","19.5107","19.5410"
"19/06/2023","CHINESE YUAN","19.6516","19.6332","19.6700"
"16/06/2023","CHINESE YUAN","19.5528","19.5360","19.5695"
"15/06/2023","CHINESE YUAN","19.5323","19.5155","19.5492"
"14/06/2023","CHINESE YUAN","19.5155","19.4983","19.5328"
"13/06/2023","CHINESE YUAN","19.4763","19.4618","19.4908"
"12/06/2023","CHINESE YUAN","19.5405","19.5225","19.5585"
"09/06/2023","CHINESE YUAN","19.5459","19.5294","19.5624"
"08/06/2023","CHINESE YUAN","19.5472","19.5297","19.5647"
"07/06/2023","CHINESE YUAN","19.5186","19.5025","19.5347"
"06/06/2023","CHINESE YUAN","19.5514","19.5346","19.5682"
"05/06/2023","CHINESE YUAN","19.5149","19.4993","19.5305"
"02/06/2023","CHINESE YUAN","19.5778","19.5620","19.5936"
"31/05/2023","CHINESE YUAN","19.5580","19.5399","19.5761"
"30/05/2023","CHINESE YUAN","19.5030","19.4879","19.5180"
"29/05/2023","CHINESE YUAN","19.5811","19.5658","19.5963"
"26/05/2023","CHINESE YUAN","19.5571","19.5410","19.5732"
"25/05/2023","CHINESE YUAN","19.6016","19.5846","19.6186"
"24/05/2023","CHINESE YUAN","19.5549","19.5380","19.5718"
"23/05/2023","CHINESE YUAN","19.6007","19.5848","19.6166"
"22/05/2023","CHINESE YUAN","19.5928","19.5776","19.6080"
"19/05/2023","CHINESE YUAN","19.5386","19.5191","19.5581"
"18/05/2023","CHINESE YUAN","19.6406","19.6234","19.6579"
"17/05/2023","CHINESE YUAN","19.6125","19.5973","19.6276"
"16/05/2023","CHINESE YUAN","19.7000","19.6849","19.7150"
"15/05/2023","CHINESE YUAN","19.6838","19.6688","19.6987"
"12/05/2023","CHINESE YUAN","19.7018","19.6849","19.7188"
"11/05/2023","CHINESE YUAN","19.7347","19.7197","19.7497"
"10/05/2023","CHINESE YUAN","19.7236","19.7080","19.7391"
"09/05/2023","CHINESE YUAN","19.7305","19.7159","19.7451"
"08/05/2023","CHINESE YUAN","19.7350","19.7200","19.7501"
"05/05/2023","CHINESE YUAN","19.7414","19.7266","19.7561"
"04/05/2023","CHINESE YUAN","19.7451","19.7290","19.7611"
"03/05/2023","CHINESE YUAN","19.6978","19.6802","19.7154"
"02/05/2023","CHINESE YUAN","19.6782","19.6606","19.6958"
"28/04/2023","CHINESE YUAN","19.6216","19.6039","19.6393"
"27/04/2023","CHINESE YUAN","19.6179","19.6026","19.6332"
"26/04/2023","CHINESE YUAN","19.5767","19.5595","19.5940"
"25/04/2023","CHINESE YUAN","19.6069","19.5922","19.6215"
"24/04/2023","CHINESE YUAN","19.6907","19.6705","19.7110"
"20/04/2023","CHINESE YUAN","19.6212","19.6060","19.6364"
"19/04/2023","CHINESE YUAN","19.6225","19.6071","19.6379"
"18/04/2023","CHINESE YUAN","19.5806","19.5624","19.5989"
"17/04/2023","CHINESE YUAN","19.6163","19.5946","19.6380"
"14/04/2023","CHINESE YUAN","19.6410","19.6253","19.6566"
"13/04/2023","CHINESE YUAN","19.4848","19.4695","19.5000"
"12/04/2023","CHINESE YUAN","19.4185","19.4037","19.4333"
"11/04/2023","CHINESE YUAN","19.4049","19.3897","19.4201"
"06/04/2023","CHINESE YUAN","19.3756","19.3560","19.3952"
"05/04/2023","CHINESE YUAN","19.3234","19.3038","19.3430"
